#obj_file src_file links_in links_out loc_changes
./commands/ftpd200/access.o commands/ftpd200/access.c 4 18 134
./commands/lex/nfa.o commands/lex/nfa.c 16 40 709
./commands/elvis/redraw.o commands/elvis/redraw.c 4 31 1295
./kernel/system.o kernel/system.c 20 66 2988
./drivers/fxp/mii.o drivers/fxp/mii.c 2 2 216
./commands/pax/ftree.o commands/pax/ftree.c 7 33 535
./commands/rcp/rcp.o commands/rcp/rcp.c 25 39 848
./commands/ash/var.o commands/ash/var.c 28 42 1014
./commands/aal/wr_bytes.o commands/aal/wr_bytes.c 1 2 72
./drivers/log/diag.o drivers/log/diag.c 2 8 349
./commands/cawf/getopt.o commands/cawf/getopt.c 5 4 77
./servers/vm/exec.o servers/vm/exec.c 3 18 1336
./commands/pax/cpio.o commands/pax/cpio.c 20 19 1152
./commands/pr_routes/pr_routes.o commands/pr_routes/pr_routes.c 12 22 307
./commands/pkg_install/lib/dewey.o commands/pkg_install/lib/dewey.c 5 13 326
./commands/rsh/rsh.o commands/rsh/rsh.c 7 27 571
./servers/mfs/misc.o servers/mfs/misc.c 2 9 140
./commands/cawf/output.o commands/cawf/output.c 3 5 96
./commands/cawf/pass3.o commands/cawf/pass3.c 1 42 614
./servers/ext2/utility.o servers/ext2/utility.c 11 9 255
./commands/reboot/halt.o commands/reboot/halt.c 4 21 211
./commands/fix/fix.o commands/fix/fix.c 9 10 223
./commands/mdocml/term_ps.o commands/mdocml/term_ps.c 2 14 860
./commands/talk/talk.o commands/talk/talk.c 3 41 484
./commands/playwave/playwave.o commands/playwave/playwave.c 7 13 218
./commands/aal/wr_int2.o commands/aal/wr_int2.c 1 1 34
./commands/env/env.o commands/env/env.c 1 12 83
./commands/pr/pr.o commands/pr/pr.c 23 21 504
./commands/diff/diff.o commands/diff/diff.c 26 31 1667
./drivers/filter/optset.o drivers/filter/optset.c 1 5 129
./commands/tcpstat/tcpstat.o commands/tcpstat/tcpstat.c 10 27 344
./drivers/audio/es1370/es1370.o drivers/audio/es1370/es1370.c 19 17 688
./servers/pm/misc.o servers/pm/misc.c 11 32 1481
./servers/inet/sr.o servers/inet/sr.c 4 19 2842
./commands/elle/sberr.o commands/elle/sberr.c 21 7 1362
./commands/mdb/mdb.o commands/mdb/mdb.c 22 51 1035
./commands/tar/write.o commands/tar/write.c 3 103 1180
./servers/iso9660fs/mount.o servers/iso9660fs/mount.c 6 15 299
./commands/aal/format.o commands/aal/format.c 1 3 126
./commands/less/less/position.o commands/less/less/position.c 10 4 233
./commands/mdocml/man_argv.o commands/mdocml/man_argv.c 1 1 104
./commands/make/var.o commands/make/var.c 17 64 4044
./commands/aal/rd.o commands/aal/rd.c 12 4 552
./commands/elle/eedisp.o commands/elle/eedisp.c 28 65 1732
./servers/vm/queryexit.o servers/vm/queryexit.c 3 2 153
./commands/lspci/lspci.o commands/lspci/lspci.c 1 3 53
./commands/dis88/dishand.o commands/dis88/dishand.c 27 20 1049
./commands/gas2ack/parse_gnu.o commands/gas2ack/parse_gnu.c 2 30 2003
./commands/make/hash.o commands/make/hash.c 8 6 463
./servers/vfs/vmnt.o servers/vfs/vmnt.c 2 1 260
./servers/iso9660fs/main.o servers/iso9660fs/main.c 5 21 307
./commands/fsck1/fsck1.o commands/fsck1/fsck1.c 89 24 1388
./servers/iso9660fs/path.o servers/iso9660fs/path.c 7 22 1079
./commands/reboot/shutdown.o commands/reboot/shutdown.c 17 46 459
./commands/de/de_stdout.o commands/de/de_stdout.c 27 21 2350
./drivers/sb16/sb16_mixer.o drivers/sb16/sb16_mixer.c 1 16 1285
./commands/mesg/mesg.o commands/mesg/mesg.c 1 7 48
./commands/ftpd200/net.o commands/ftpd200/net.c 5 36 431
./commands/cat/cat.o commands/cat/cat.c 1 9 137
./commands/elle/eef2.o commands/elle/eef2.c 26 42 311
./drivers/hello/hello.o drivers/hello/hello.c 1 24 325
./commands/pax/gen_subs.o commands/pax/gen_subs.c 6 9 414
