#function_name function_calls
brcmf_c_mkiovar 23
i2400m_msg_to_dev 23
if_cs_write16 23
typhoon_issue_command 23
set_loopback 23
pmread 23
netxen_get_ioaddr 23
at91_read 23
genmii_setup_aneg 22
sf1_read 22
setup_hw_rings 22
asix_mdio_write 22
dev_to_chan 22
dma_mask_to_engine_type 22
usbnet_probe 22
tg3_halt 22
scc_isr 22
smsc911x_mac_write 22
unmap_rx_buf 22
genmii_read_link 22
free_ringmemory 22
bfa_msgq_cmd_post 22
init_queues 22
ne_probe1 22
ei_tx_timeout 22
e1000_init_hw 22
e1000_set_mac 22
setup_sg 22
ei_start_xmit 22
calc_crc 22
txq_avail 22
wait_timeout 22
niu_pci_eeprom_read 22
softing_fct_cmd 22
wlc_lcnphy_set_tx_pwr_ctrl 22
rx_on 22
free_sja1000dev 22
usbnet_suspend 22
get_chip_id 22
rf_kill_active 22
ixgbe_atr 22
ixgbe_poll 22
op32_idx2desc 22
temac_indirect_out32 22
tlan_mii_write_reg 22
brcmf_sdcard_reg_write 22
nv_optimized 22
lock_rx_qs 22
lock_tx_qs 22
port_start 22
wl1251_reg_read32 22
wlc_phy_cal_perical 22
calc_tx_flits 22
mace_reset 22
printk_buf 22
genmii_setup_forced 22
rt2400pci_bbp_write 21
get_tx_le 21
irda_read 21
be_read_eeprom 21
issuecommand 21
alloc_candev 21
cxgb_open 21
happy_meal_tcvr_write 21
bnx2_reg_wr_ind 21
mlx4_table_put 21
greth_read_bd 21
bnx2x_acquire_phy_lock 21
ipw_write_reg32 21
il_scan_cancel 21
cycx_peek 21
napi_disable_rx 21
bmac_init 21
hfa384x_inw_debug 21
happy_meal_tx 21
allocate_bd 21
xm_phy_write 21
get_pci_mode 21
get_int_events 21
ks8695_writereg 21
usbnet_get_endpoints 21
zd1201_setconfig16 21
napi_enable_rx 21
hfa384x_to_bap 21
rt2x00mac_tx 21
spu_write 21
napi_clear_rx_event 21
ar9003_mci_send_message 21
bnx2_reg_rd_ind 21
do_gro 21
ath9k_hw_wait 21
STNIC_WRITE 21
bnx2x_release_phy_lock 21
rxq_process 21
start_nic 21
hfa384x_outw_debug 21
lmc_led_off 21
ei_set_multicast_list 21
tx_kickstart 21
ath_beacon_config 21
lbs_mesh_config 21
atmel_tx 21
smctr_setup_single_cmd 21
htc_stop 21
atmel_wmem8 21
ei_get_stats 21
ath6kl_debugfs_open 20
smsc_ircc_probe 20
free_rspq_fl 20
reset_chip 20
ei_tx_intr 20
smsc9420_pci_flush_write 20
wlc_lcnphy_tempsense 20
txq_deinit 20
e1000_vlan_rx_kill_vid 20
bnx2x_cl22_read 20
show_debug_level 20
set_rx_buf 20
brcmf_ifname 20
ath_tx_status 20
hostap_80211_rx 20
ace_issue_cmd 20
zd1201_getconfig 20
e1000_maybe_stop_tx 20
always_connected 20
carl9170_rx 20
check_mirror 20
mac_intr_handler 20
bb_set 20
if_usb_free 20
b43legacy_dma_tx 20
register_ldisc 20
e1000_watchdog 20
set_normal_mode 20
send_filter_frame 20
rate_n_flags_from_tbl 20
ei_poll 20
set_bufsize 20
hecc_set_bit 20
tsi108_stat_carry 20
load_packet 20
mii_send_bits 20
show_error 20
ei_receive 20
ipw_send_cmd_pdu 20
init_rspq 20
zd_usb_iowrite16v 20
read_mac_address 20
mlx4_DMA_wrapper 20
e1000e_phy_has_link_generic 20
netxen_rom_fast_read 20
brcmf_sdbrcm_rxfail 20
do_write 20
rt2400pci_config 20
ath_tx_complete 20
bnx2x_dmae_opcode 20
rt2x00usb_vendor_request 20
outb_control 20
and_radio_reg 20
do_set_multicast_list 20
e1000_read_eeprom 20
set_port_type 20
mdio_dir 20
iwl_write_prph 20
smc_hardware_send_packet 20
carl9170_fw 20
e1000_alloc_rx_buffers 20
e1000_consume_page 20
ks8842_read16 20
tg3_stop_block 20
store_debug_level 20
NS8390_trigger_send 20
read_mii_word 20
upload_firmware 20
z8530_tx 20
wl1271_tx_min_rate_get 20
e1000_get_regs 20
z8530_init 20
do_rom_fast_read 20
channel2freq_bg 20
e1000_get_eeprom 20
e1000_vlan_rx_add_vid 20
brcms_b_read_shm 19
e1000_phy_reset 19
hss_npe_send 19
mii_speed 19
rs_is_valid_ant 19
e1000_shift_out_ee_bits 19
pch_can_rw_msg_obj 19
brcmf_sdbrcm_clkctl 19
ql_write_page1_reg 19
rtl_patchphy 19
phy_print_status 19
rt2x00queue_get_entry 19
ath5k_hw_init 19
rtl_csi_access_enable 19
ei_close 19
check_sys_up 19
slave_event 19
beacon_enable 19
i2400m_report_hook 19
jme_mdio_read 19
ql_mii_write_reg_ex 19
e1000_read_mac_addr 19
dma_complete 19
alloc_can_skb 19
wl3501_get_mib_value 19
rr_read_eeprom 19
smt_free_mbuf 19
mlx4_bitmap_free 19
gfar_set_attribute 19
e1000_clear_hw_cntrs 19
mlx4_free_icm 19
_dma_alloc 19
de620_set_register 19
mdio_probe 19
gem_init 19
event_handle 19
smsc95xx_read_reg 19
rt2500usb_config 19
dma_high 19
p54_rx 19
iwm_rx_handle 19
wl3501_set_to_wla 19
orinoco_init 19
read_scc 19
wlc_phy_txpwr_index_nphy 19
efx_reset 19
wlc_phy_init 19
pch_can_bit_clear 19
cas_tx 19
enable_intr 19
qlcnic_issue_cmd 19
set_sge_param 18
t4_fatal_err 18
get_vpd_params 18
netdev_get_eeprom 18
tg3_read_mem 18
mlx4_mr_free 18
e1000_reset_hw 18
phy_intr 18
mdio_wait 18
e1000_down 18
e100_get_mdio_reg 18
tsi108_stat_carry_one 18
b43_dma_tx 18
happy_meal_rx 18
dbdma_reset 18
orinoco_if_add 18
smi_wait_ready 18
hfa384x_inb_debug 18
ne_init 18
sca_msci_intr 18
e1000_rx_checksum 18
e1000_clean_tx_ring 18
iwl_eeprom_query_addr 18
e1000_wait_autoneg 18
bb_read 18
ath5k_hw_ini_registers 18
scc_writel 18
greth_write_bd 18
smt_get_time 18
PRINT_PKT 18
read_file_debug 18
iwm_umac_set_config_fix 18
smc_shutdown 18
quiesce_rx 18
i2400mu_tx 18
ath5k_hw_set_gpio 18
e1000_setup_rctl 18
tx_octet 18
e1000_clean_rx_ring 18
__phy_write 18
unregister_hdlc_device 18
carl9170_exec_cmd 18
hdlc_open 18
ixgbevf_reset 18
e1000_hash_mc_addr 18
e1000_receive_skb 18
scnprint_id 18
mace_init 18
jme_mdio_write 18
e1000_get_phy_cfg_done 18
led_turn_off 18
e1000_setup_copper_link 18
remove_key 18
tg3_ape_write32 18
qlcnic_rom_fast_read 18
ipw2100_enable_adapter 18
bnx2x_func_init 18
s2io_card_up 18
hp100_rx 18
update_mac_address 18
t3_sge_init 18
wlc_phy_classifier_nphy 18
set_multicast_start 18
ath5k_hw_reset 18
rt2x00mac_config 18
zd_usb_iowrite16v_async 18
e1000_init_module 18
mwifiex_pm_wakeup_card 18
ixgbevf_up 18
set_promiscuous_mode 18
BB_PUT_BIT 18
hfa384x_outb_debug 18
__phy_read 18
set_multicast_one 18
setup_ht_cap 18
vlan_prio 18
ql_read_page0_reg 18
spu_read 18
ehea_h_query_ehea 18
pm3386_port_reg_read 18
write_file_debug 18
netdev_get_regs 18
e100_rx 18
e1000_configure_rx 18
rt2500pci_config 18
wait_for_scb_cmd 18
nv_nic_irq 18
set_multicast_finish 18
b43_mac_enable 18
nv_start_rx 18
do_pd_setup 18
e1000_power_down_phy_copper 18
zd_rfwritev_cr_locked 18
e1000_remove 18
e1000_sw_init 18
usbnet_skb_return 18
e1000_clean_jumbo_rx_irq 18
name_msix_vecs 18
ibmtr_probe 18
disable_intr 18
inline_tx_skb 18
e1000_probe 18
e1000_phy_setup_autoneg 18
smctr_disable_16bit 18
ucc_geth_rx 18
enable_MAC 18
ql_mii_read_reg 18
alloc_hdlcdev 18
e1000_exit_module 18
scc_start_tx_timer 18
eth_poll 18
calc_tx_descs 18
xm_phy_read 17
mlx4_comm_cmd 17
bap_setup 17
cnic_submit_kwqe_16 17
smctr_set_page 17
oom_timer 17
ultra_probe 17
mwl8k_remove 17
happy_meal_init 17
nolock_regw_read 17
ath9k_hw_get_channel_centers 17
ipw_disassociate 17
WRITERAP 17
wlc_lcnphy_set_tx_pwr_by_index 17
cas_mif_poll 17
ace_interrupt 17
iwl_remove 17
hme_read_desc32 17
port_reset 17
spider_net_init 17
de4x5_init 17
iwl_read_targ_mem 17
rt2800_bbp_read 17
init_netdev 17
_rtl92cu_set_bcn_ctrl_reg 17
mlx4_init_icm 17
atmel_copy_to_host 17
efx_schedule_reset 17
el_reset 17
cnic_ctl 17
b43_mac_suspend 17
pch_gbe_up 17
atmel_rmem8 17
phy_attach 17
rtl_tx_performance_tweak 17
ipw2100_disable_adapter 17
nv_stop_rx 17
at76_get_mib 17
ixgb_up 17
tsi108_read_stat 17
OutReg 17
PC4500_readrid 17
smsc911x_mac_read 17
spider_net_read_reg 17
il_poll_bit 17
read_nic_dword 17
init_status 17
carl9170_write_reg 17
bnx2x_attn_int 17
tulip_rx 17
z8530_rx 17
ath6kl_cfg80211_ready 17
_ipw_write32 17
t3_fatal_err 17
ath9k_hw_setpower 17
phy_read_1bit 16
b43legacy_destroy_dmaring 16
rx_intr_handler 16
ixgbe_fc_autoneg 16
rspq_next 16
sp_put 16
bb_clr 16
cas_reset 16
ql_adapter_reset 16
ql_disable_interrupts 16
iwl_dbgfs_open_file_generic 16
wl12xx_init 16
fl_cap 16
smsc_ircc_probe_transceiver 16
__mace_set_address 16
check_link_status 16
start_net 16
mii_address 16
rtl92s_dm_init 16
igbvf_reset 16
setup_rx_descbuffer 16
try_io_port 16
e1000_request_irq 16
free_orinocodev 16
get_rxnfc 16
hdlcdrv_ioctl 16
igbvf_up 16
ctrl_xmit 16
brcmf_proto_cdc_set_dcmd 16
be_cq_notify 16
if_usb_probe 16
b43_dma_address 16
rt2800_mcu_request 16
ipw_associate 16
_stack_save 16
vsc_read 16
pull_skb 16
iwl_eeprom_query16 16
e1000_check_for_link 16
cnic_service_bnx2 16
ei_tx_err 16
